pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
PWY-3661	390.889996	41.20715727	173.1247791	153.1015496	0	0	0	0	0	0	73.66386467	173.2726465	87.57060354	0	36.63689915	0	86.47977681	89.22529493	141.2752448	1094.761393	864.3436621	374.2532151	64.18956358	71.25885687	61.5395625	82.54316305	84.24952506	56.02176847	293.8473846	310.720933
PWY-3781	9660.981464	5931.356247	5288.07721	4887.68297	20003.40651	14895.26251	18160.76582	18161.3206	21355.28213	12260.04076	12608.38523	10659.58879	10120.25383	10473.64605	11858.65102	11072.17399	9889.558457	10982.94398	13218.61619	15946.48125	16069.6722	12162.4892	21979.12838	18682.63146	16856.11943	7934.337628	9811.220629	6407.721516	5736.82149	4502.968131
PWY-3941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.292107953	0
PWY-4361	0	0	16.3265349	0	0	0	0	0	0	14.45058206	0	0	0	0	9.348830077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4722	137.5890375	0	70.96116048	17.02451051	0	0	0	0	0	0	0	30.46782373	0	0	0	0	104.0597428	69.10561585	80.2607746	0	0	0	0	0	0	0	0	0	127.3471428	155.6030939
PWY-4984	1376.757515	865.3596877	731.8827107	745.2559364	2197.367184	1523.251622	2350.732379	2615.121763	3364.575197	1971.626552	1847.75887	1543.138503	1476.15408	785.9173575	849.2425355	709.7527965	609.2771895	533.1764768	679.4188657	256.1325281	173.294059	138.1778345	88.6397363	47.3194492	79.44171167	179.3410406	178.000335	121.7726527	852.95147	716.3055264
PWY-5005	6.588557936	0	0	28.38498112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.34032459
PWY-5022	597.7181421	340.8691257	196.6679575	217.1438638	5180.751212	3994.191126	4495.331296	3529.207435	4140.536626	2460.65744	2070.603404	1709.660298	1748.877415	4187.646567	5024.167445	4858.304854	2780.030395	3214.430856	3809.356326	6940.138166	7430.264577	5962.077046	5828.222559	5064.500389	4285.498567	1743.639468	2192.275653	1492.299941	344.7305486	291.4061836
PWY-5028	1247.91927	602.9452273	543.6461518	529.6548232	2440.408258	1834.790127	2159.587326	2445.728915	2927.08452	1762.819199	583.596407	404.3712625	380.1630004	210.1566686	294.1485201	34.87963921	724.1026351	640.9766186	963.5249305	1973.135786	2349.55988	1864.429685	463.6352458	438.6371997	79.42148166	236.8043363	294.2439635	214.1079118	683.3592342	435.0252123
PWY-5097	3775.723697	2265.440453	2030.282445	1896.811953	7432.406395	5525.268103	6829.962415	6955.709896	8197.273462	4719.29138	5125.739626	4346.908642	4142.675447	6002.306975	7125.936892	6901.473337	3604.544285	3948.275894	4770.609291	12105.29221	12510.61485	10345.35954	8821.270688	7446.802823	6902.208264	3905.661667	4823.235774	3090.90265	2200.741258	1714.053892
